road_id,road_admin,name,road_surface,road_class,portion,length
573667,State,S152,Paved,4,0.5110697928201271,15.246067412071795
574469,State,S190,Paved,4,0.545042219575292,4.136224600040194
575107,State,S210,Paved,4,0.036902756733553865,0.8428665339799115
573846,State,S266,Paved,3,0.020457661120777768,0.3879387921807818
574551,State,S71,Paved,3,0.02395176077230185,0.8670523970435899
563380,State,U89,Paved,3,0.000644922672012216,0.4839951856199599
573031,State,S95,Paved,4,0.0002461243938627981,0.048069590780534584
573018,State,U191,Paved,3,0.0003177080864477389,0.12910952496108385
573018,State,U191,Paved,3,0.0009562554568719018,0.3886010241621098
563380,State,U89,Paved,3,0.007456780681758431,5.596090983953872
563380,State,U89,Paved,3,0.007012142620702879,5.26240341142238
573342,State,S120,Paved,3,0.22908736724733972,0.8043436186521629
563380,State,U89,Paved,3,0.002342878124653053,1.7582599930754474
573313,State,S119,Paved,5,0.11199692043212037,1.5763985848977615
573342,State,S120,Paved,3,0.39953269703760386,1.402790468835057
563380,State,U89,Paved,3,0.003907809401376413,2.9326941332135017
573313,State,S119,Paved,5,0.17916815777185252,2.521858898267386
573342,State,S120,Paved,3,0.11465539769621537,0.40256404615016006
563380,State,U89,Paved,3,0.0018348434945462907,1.3769951906880498
573018,State,U191,Paved,3,0.0024071343403501643,0.9782060465472092
576047,State,I70,Paved,1,0.0005939191303659687,0.22145992173100992
573427,State,U50,Paved,3,0.003740895684380096,0.36536052683195236
563380,State,U89,Paved,3,0.0008377193055517267,0.6286832955071734
573061,State,S213,Paved,5,0.11230139291508073,8.293142840272576
575179,State,S32,Paved,5,0.07115457011139878,2.910081651554038
573061,State,S213,Paved,5,0.020859265136031865,1.5403982161382406
575179,State,S32,Paved,5,0.09403342112972113,3.845781557446555
576090,State,S150,Paved,5,0.021974308268531244,0.8137414177892597
573542,State,S138,Paved,3,0.042528265393591135,1.3839346031428446
563396,State,U40,Paved,3,0.005612275125496881,1.5793529540670648
563396,State,U40,Paved,3,0.0008930546214218962,0.2513149164904923
563396,State,U40,Paved,3,9.121232601851325e-05,0.025668103099616504
573018,State,U191,Paved,3,0.0006785753593031822,0.2757579867402653
570643,State,I15,Paved,1,0.012475811383303087,8.067469929892857
574281,State,S89,Paved,3,0.2124419138983875,0.5454812280827808
573666,State,S92,Paved,5,0.20331194483185488,8.822191489529287
563380,State,U89,Paved,3,0.008168929545134972,6.130537416490585
563396,State,U40,Paved,3,0.004895577354583751,1.377666700924812
570643,State,I15,Paved,1,0.005120656984102735,3.3112672972783646
570640,State,S17,Paved,4,0.15358296678227443,1.4842404461802121
563433,State,S9,Paved,3,0.0010556590324680248,0.09669765827046599
570632,State,S18,Paved,4,0.08807958588294995,7.204820084160889
563410,State,S56,Paved,4,0.05449311787878993,5.39385071299827
570632,State,S18,Paved,4,0.0880795856114983,7.20482006195642
563410,State,S56,Paved,4,0.054493118372117004,5.393850761828888
