railroad_id,railroad_type,portion,length_mile
74337,AC; OVERHEAD,0.012048033121431006,0.08461716253658617
74345,AC; OVERHEAD,0.4517154552759167,0.9025341105216425
77460,AC; OVERHEAD,0.3035976014351438,0.9164722002460874
74336,AC; OVERHEAD,0.14101140614472704,0.3338483577114042
74338,AC; OVERHEAD,0.04907142937285132,0.0831898980754737
74339,AC; OVERHEAD,0.7613364849876446,0.08939623950930842
74340,AC; OVERHEAD,0.014161754847819908,0.07232315598353876
77447,AC; OVERHEAD,0.1361237054434824,0.2772816414486003
77448,AC; OVERHEAD,0.40935706554173973,0.38574630889538297
73752,AC; OVERHEAD,0.009509033968014759,0.161198906352951
73752,AC; OVERHEAD,0.00043941431366820215,0.007449032892027294
73752,AC; OVERHEAD,0.00043941431366820215,0.007449032892027294
76529,AC; OVERHEAD,0.06294674731191302,0.142705136099971
76530,AC; OVERHEAD,0.18454155936533118,0.9837985110865418
73753,AC; OVERHEAD,0.003716005749150046,0.1287727838605958
76529,AC; OVERHEAD,0.06694799734795881,0.15177627885711012
76530,AC; OVERHEAD,0.15047378527197783,0.802181830571106
73753,AC; OVERHEAD,0.003651260221350054,0.12652912160059107
73754,AC; OVERHEAD,0.006524292460189868,0.12924415565699657
74371,AC; OVERHEAD,0.13848558624037974,2.3524062108725983
74372,AC; OVERHEAD,0.03890858820951128,0.3848263412776118
76528,AC; OVERHEAD,0.017091888006927472,0.11997962582194503
76529,AC; OVERHEAD,0.08904070218297927,0.20186214643459824
76530,AC; OVERHEAD,0.17516236265465296,0.9337976343686522
73753,AC; OVERHEAD,0.006808705455813108,0.23594580181487174
74214,AC; OVERHEAD,0.012554248969902303,0.28368671428354114
80174,AC; OVERHEAD,0.4297674904321198,0.29505038295898617
68319,AC; OVERHEAD,0.0009588444263441877,0.08660473459772364
75368,AC; OVERHEAD,0.07792109337654024,0.08330790801081162
68317,AC; OVERHEAD,0.0009942269377314931,0.08528830493287862
75355,AC; OVERHEAD,0.08248223193417542,0.29246009211821966
79743,AC; OVERHEAD,0.9277660511394221,0.01947961208607967
74183,AC; OVERHEAD,0.011643887186585189,0.15332227764295067
74184,AC; OVERHEAD,0.039495474554853895,0.15926930207412965
74185,AC; OVERHEAD,0.016851237723109386,0.1674575451733171
74896,AC; OVERHEAD,1.0,0.043463325593973055
75416,AC; OVERHEAD,0.007472035674731161,0.017083445562428363
74146,AC; OVERHEAD,0.7477729864091488,0.2208396916598594
74190,AC; OVERHEAD,0.05319317421891626,0.05288746530659051
74198,AC; OVERHEAD,0.5327445016669293,1.1138409930683897
74199,AC; OVERHEAD,0.27554177121782675,1.122945653999889
74437,AC; OVERHEAD,0.10245152218559575,0.15789937609555182
74438,AC; OVERHEAD,0.08723531031995967,0.06344168256092181
74439,AC; OVERHEAD,1.0,0.539586755608561
74164,AC; OVERHEAD,0.18933225038957113,0.9333021990587589
74165,AC; OVERHEAD,0.3637761840280341,1.2907751889085732
74166,AC; OVERHEAD,0.8876548434596453,0.37614026465905276
74167,AC; OVERHEAD,0.11405081927276822,0.43891022494017345
74168,AC; OVERHEAD,0.023168453717537188,0.11157765415158362
75122,AC; OVERHEAD,0.18043221876003404,0.0027613186170016234
74236,AC; OVERHEAD,0.017059377181372466,0.12239730852472519
