dam_id,dam_num,name,area_m2,intersect_count,intersect_mile,voltage
215,UT53277,Riverton City - Black Ridge Reservoir,2494623.0127807,0,,0.0
217,UT00325,WIDE HOLLOW,2479029.50652786,0,,0.0
135,UT00746,SANDY - FLAT IRON MESA,2427319.04123444,4,1.6891381570335469,138.0
26,UT00025,BEAVER CREEK - UPPER (BOX CREEK),2352054.87624742,0,,0.0
174,UT00618,BAKER,2332918.10885669,1,0.015280167516013493,69.0
10,UT00319,ETNA,2293846.66446817,0,,0.0
216,UT53509,SANTAQUIN PRESSURE IRRIGATION RESERVOIR,2238309.1796878,2,0.9943206508801194,138.0
113,UT00832,CEDAR CITY - DRY CANYON,2200099.06080225,1,0.015278248018027903,138.0
220,UT00871,RIVERTON CITY - 4200 WEST POND,2174616.12488111,8,2.9306724798648234,345.0
133,UT00519,SANDY - ALTA CANYON,2162149.46414646,10,3.697025959079544,138.0
14,UT00002,ADAMS,2141429.5088547,4,1.294634806233542,230.0
103,UT00737,DAVIS/WEBER CANAL - LAYTON POND,2134724.68777419,4,2.18208267445152,230.0
134,UT00590,SANDY - FALCON DB,2116281.66432696,11,5.533012123076053,138.0
140,UT00103,FAIRVIEW LAKE,2040723.4338605,0,,0.0
125,UT00024,BEAVER CREEK - LOWER (BOX CREEK),2036083.17418494,0,,0.0
201,UT00638,LINDON CITY DRY CANYON DEBRIS BASIN,1986678.92084098,4,1.8359267051454686,138.0
143,UT00340,GLENWOOD DEBRIS,1878627.23681406,0,,0.0
96,UT00648,DAVIS - HOOPER DRAW,1832618.91910638,2,2.1212792526116853,230.0
33,UT00199,STARVATION CANYON,1806902.55402875,2,0.35667397579107524,138.0
184,UT00354,THREE CREEKS - SEVIER,1801041.73613663,3,0.6663400100675246,345.0
19,UT00095,DUCK FORK,1628283.38882216,0,,0.0
97,UT00170,DAVIS - PARRISH CREEK,1568097.62387448,2,0.42789243487857237,138.0
89,UT00573,THREE MILE CREEK - PERRY,1529146.27204816,3,0.4800483168118429,230.0
106,UT00378,HAIGHT CREEK (LOWER),1495684.33676503,0,,0.0
83,UT00834,CEDAR CITY - STEPHENS CANYON SOUTH,1474693.51925203,1,0.007428450971239455,138.0
82,UT00833,CEDAR CITY - STEPHENS CANYON NORTH,1470399.12949687,1,0.007428450971239455,138.0
122,UT00232,NORTHWEST,1385814.86327613,1,0.9624131004125596,230.0
123,UT00232,NORTHWEST,1224271.06484122,1,0.709934763964492,230.0
181,UT00866,DEER VALLEY SNOW MAKING RESERVOIR,1181115.47641493,7,0.4886773130571012,115.0
180,UT00505,OGDEN CITY - SULLIVAN HOLLOW,1148936.30104166,3,0.6915282416796622,138.0
15,UT00140,HOBBS,1135669.20518904,5,1.5448374425164393,230.0
115,UT00415,CEDAR CITY - GREENS LAKE #3,1105887.69882411,0,,0.0
196,UT00180,SILVER SPRINGS #1,1053148.71100957,0,,0.0
221,UT53257,RH LAKE DAM/KENNECOTT DAYBREAK,1023502.69264573,3,0.4761598278889754,46.0
137,UT00566,MOAB - TUSHER CANYON,994971.9989472,3,0.09378387282369656,345.0
138,UT00553,MOAB - WHITE CANYON,901538.602572124,3,0.1499637787171978,345.0
124,UT00327,WILKINSON (HARRY),883740.480625737,1,0.21767741805284485,230.0
95,UT00461,DAVIS - HOLMES CREEK,868025.288061183,2,0.6412276153455422,69.0
32,UT00349,LLOYDS LAKE (MONTICELLO),866187.92097647,3,0.4353914553972458,345.0
206,UT00803,DAVIS - MUTTON HOLLOW,817771.702381627,2,0.31101368047389344,230.0
144,UT00153,JOHNSON,811027.304996883,0,,0.0
31,UT00043,BLANDING CITY #4,800039.423544683,0,,0.0
198,UT00657,FIDDLER CANYON #1,777440.534372297,0,,0.0
154,UT00744,LINDON IRRIGATION III,728535.767830136,0,,0.0
213,UT53205, Dutch Canyon Dam - Midway Irrigation,694348.725842385,0,,0.0
